ID	Result
group_394	-0.119601283460599
group_11921	-0.118199773671588
group_2837	-0.107849316728744
group_12734	-0.202804298979845
group_6147	-0.210469625111983
group_4436	-0.29828657321322
group_7851	-0.180227759738707
group_2418	0.18067254016495
group_7999	-0.341310324131799
group_3876	-0.299628941130749
group_9874	-0.277315021711981
group_5061	0.0655285564140323
group_8806	-0.396330476066492
group_12972	-0.311653179181103
group_8317	-0.355880506634941
group_7040	-0.163880244243121
group_14403	-0.297933821694576
group_48867	-0.304705034264023
group_10077	-0.15046114155403
group_6539	-0.145562912415855
group_3343	-0.234449450652179
group_10469	-0.154963080052548
group_4692	-0.231416165941995
group_25469	-0.303198403856893
group_7140	-0.354453784246137
group_484	-0.310271019539234
group_2645	-0.20206868082919
group_11940	-0.00639978257884409
group_4112	0.0381965413086372
group_12973	-0.286834550108108
group_12775	-0.363524280549547
group_6358	-0.283333733548313
group_28811	-0.395758310844282
group_4037	-0.372301282087587
group_8621	-0.124864465232588
group_10556	-0.183340734220504
group_2706	-0.0301343871254276
group_3889	-0.264873718792063
group_10173	-0.104299272015185
group_8322	-0.287335155353243
group_4263	-0.324211875495975
group_5487	-0.0839092989520206
group_14405	-0.271986105921522
group_8294	-0.345372514393081
group_4065	-0.210419859093446
group_5014	-0.279630284718939
group_8814	-0.10198794683432
group_6781	-0.303021360089761
group_8350	0.13738066288385
group_6033	-0.23491194820304
group_12027	-0.373434374283158
group_49103	-0.0632184753469389
group_3354	-0.225056825894084
group_3135	-0.0494993937275102
group_8569	0.115051528098223
group_31353	-0.397670375734106
group_1554	-0.1622890988873
group_5216	-0.312064466604615
group_31170	-0.305335382584251
group_8843	-0.210374561890485
group_9844	-0.187703358112442
group_4038	-0.320250194744285
group_4304	0.293453071898435
group_27845	-0.0812067926542474
group_4297	-0.320662288443683
group_10566	-0.391844090930092
group_7395	-0.336991853681941
group_17245	-0.336375381964554
group_5488	0.0648172244728439
group_11109	-0.305258168249067
group_4373	-0.288323412257072
group_14857	-0.0532236853975914
group_37210	-0.385722443559014
group_5290	-0.28567267405741
group_8521	-0.0221842556553013
group_10467	-0.239335757792288
group_8136	0.138983763354347
group_17252	-0.268418409527155
group_8810	-0.362157926461402
group_20096	-0.358109222368858
group_12639	-0.0167092905654379
group_3441	-0.221358029939658
group_8039	-0.295747697910303
group_6907	-0.22209342073275
group_7950	-0.00143109824246215
group_5161	-0.0879468514593498
group_5525	-0.193926352950625
group_3475	-0.345674177070622
